COUNTY REP DEM LIB GRN W-I1 W-I2 W-I3 W-I4 W-I5 W-I6 W-I7 W-I8 W-I9 W-I10 W-I11 W-I12 W-I13
COUNTY Trump Clinton Johnson Stein Valdivia Soltysik Kotlikoff Lee Maturen Moorehead Cubbler McMullin Steffes Fox Castle Hoefling Morrow
UVALDE 4835 3867 191 54 0 1 0 0 0 0 0 13 0 0 3 0 0
"VAL VERDE" 5890 6964 573 131 0 1 0 0 0 0 0 51 0 0 6 1 0
"VAN ZANDT" 18473 2799 385 77 2 3 4 5 6 0 0 89 5 0 25 10 7
VICTORIA 21275 8866 782 156 0 0 0 0 1 0 0 38 0 0 5 0 0
WALKER 12884 6091 560 161 0 1 1 0 1 0 0 76 0 1 18 2 0
WALLER 10531 5748 342 104 0 0 2 0 1 0 1 43 0 0 10 2 0
WARD 2547 783 82 10 3 0 0 1 2 0 0 14 0 0 3 0 0
WASHINGTON 10945 3382 352 70 0 0 0 0 2 0 0 68 0 0 8 0 1
WEBB 12947 42307 1033 591 4 0 0 3 0 0 0 19 0 0 0 0 1
WHARTON 10149 4238 269 51 0 0 1 0 5 0 0 12 0 0 7 0 0
WHEELER 2087 194 21 4 0 0 0 0 0 0 0 0 0 0 0 0 0
WICHITA 27631 8770 1308 256 0 0 0 0 0 0 0 143 0 0 11 0 0
WILBARGER 3166 809 115 13 0 0 0 0 0 0 0 0 0 0 1 0 1
WILLACY 1547 3422 95 31 0 0 0 0 0 0 0 0 0 0 0 0 0
WILLIAMSON 104175 84468 10229 2047 3 3 47 4 79 5 19 1734 5 4 194 58 7
WILSON 13998 4790 392 82 133 0 0 0 0 0 0 26 0 0 7 4 0
WINKLER 1403 420 49 1 0 0 0 0 0 0 0 3 0 0 0 0 0
WISE 20670 3412 505 91 0 0 0 0 1 0 0 76 0 0 10 11 0
WOOD 15700 2630 280 64 0 0 2 0 0 0 0 38 12 0 1 0 0
YOAKUM 1797 426 73 3 0 0 0 0 0 0 0 4 0 0 0 0 0
YOUNG 6601 876 180 19 0 0 0 0 0 0 0 30 0 0 1 0 0
ZAPATA 1029 2063 34 16 0 0 0 0 0 0 0 0 0 0 0 0 0
ZAVALA 694 2636 50 16 0 0 0 0 0 0 0 0 0 0 0 0 0
